timestamp,pressure_bag,pressure_bme,diff_pressure,v_wind_est,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,power
2026-06-26 18:18:08.850,994.09,994.08,-0.98,-1.31,0.00,1.25,0.31,9.26,0.00,0.00,0.01,0.00
2026-06-26 18:18:08.854,994.09,994.08,-0.98,-1.31,0.00,1.25,0.31,9.26,0.00,0.00,0.01,0.00
2026-06-26 18:18:08.860,994.09,994.08,-0.98,-1.31,0.00,1.25,0.31,9.26,0.00,-0.00,0.00,0.00
2026-06-26 18:18:08.908,994.09,994.08,-0.85,-1.22,0.00,1.24,0.19,9.27,-0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.910,994.09,994.08,-0.85,-1.22,0.00,1.26,0.22,9.26,-0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.911,994.09,994.08,-0.85,-1.22,0.00,1.26,0.22,9.26,-0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.913,994.09,994.08,-0.85,-1.22,0.00,1.26,0.22,9.26,-0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.914,994.09,994.08,-0.85,-1.22,0.00,1.26,0.22,9.26,-0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.918,994.09,994.08,-0.85,-1.22,0.00,1.26,0.22,9.26,-0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.920,994.09,994.08,-0.85,-1.22,0.00,1.20,0.27,9.23,-0.00,-0.00,-0.01,0.00
2026-06-26 18:18:08.927,994.09,994.08,-0.85,-1.22,0.00,1.20,0.27,9.23,-0.00,-0.00,-0.01,0.00
2026-06-26 18:18:08.929,994.09,994.08,-0.85,-1.22,0.00,1.24,0.29,9.24,0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.930,994.09,994.08,-0.85,-1.22,0.00,1.24,0.29,9.24,0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.933,994.09,994.08,-0.85,-1.22,0.00,1.24,0.29,9.24,0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.941,994.09,994.08,-0.85,-1.22,0.00,1.24,0.29,9.24,-0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.980,994.09,994.08,-0.63,-1.05,0.00,1.40,0.33,9.23,0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.982,994.09,994.08,-0.63,-1.05,0.00,1.40,0.33,9.23,0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.987,994.09,994.08,-0.63,-1.05,0.00,1.40,0.33,9.23,0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.989,994.09,994.08,-0.63,-1.05,0.00,1.37,0.28,9.24,-0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.991,994.09,994.08,-0.63,-1.05,0.00,1.37,0.28,9.24,-0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.993,994.09,994.08,-0.63,-1.05,0.00,1.37,0.28,9.24,-0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.998,994.09,994.08,-0.63,-1.05,0.00,1.37,0.28,9.24,-0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.999,994.09,994.08,-0.63,-1.05,0.00,1.40,0.28,9.17,-0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.001,994.09,994.08,-0.63,-1.05,0.00,1.40,0.28,9.17,-0.00,-0.01,-0.01,0.00
2026-06-26 18:18:08.003,994.09,994.08,-0.63,-1.05,0.00,1.40,0.28,9.17,-0.00,-0.01,-0.01,0.00
2026-06-26 18:18:09.048,994.09,994.08,-0.34,-0.78,0.00,1.40,0.23,9.23,-0.00,-0.00,0.00,0.00
2026-06-26 18:18:09.050,994.09,994.08,-0.34,-0.78,0.00,1.36,0.23,9.22,-0.00,-0.00,0.00,0.00
2026-06-26 18:18:09.051,994.09,994.08,-0.34,-0.78,0.00,1.36,0.23,9.22,-0.00,-0.00,0.00,0.00
2026-06-26 18:18:09.055,994.09,994.08,-0.34,-0.78,0.00,1.36,0.23,9.22,-0.00,-0.00,0.00,0.00
2026-06-26 18:18:09.058,994.09,994.08,-0.34,-0.78,0.00,1.36,0.23,9.22,-0.00,-0.00,0.00,0.00
2026-06-26 18:18:09.060,994.09,994.08,-0.34,-0.78,0.00,1.35,0.30,9.23,-0.00,-0.00,0.00,0.00
2026-06-26 18:18:09.061,994.09,994.08,-0.34,-0.78,0.00,1.35,0.30,9.23,-0.00,-0.00,0.00,0.00
2026-06-26 18:18:09.063,994.09,994.08,-0.34,-0.78,0.00,1.35,0.30,9.23,-0.00,-0.00,0.00,0.00
2026-06-26 18:18:09.064,994.09,994.08,-0.34,-0.78,0.00,1.35,0.30,9.23,-0.00,-0.00,0.00,0.00
2026-06-26 18:18:09.066,994.09,994.08,-0.34,-0.78,0.00,1.35,0.30,9.23,-0.00,-0.00,0.00,0.00
2026-06-26 18:18:09.068,994.09,994.08,-0.34,-0.78,0.00,1.35,0.30,9.23,0.00,-0.00,0.00,0.00
2026-06-26 18:18:09.070,994.09,994.08,-0.34,-0.78,0.00,1.35,0.32,9.24,0.00,-0.00,0.00,0.00
2026-06-26 18:18:09.074,994.09,994.08,-0.34,-0.78,0.00,1.35,0.32,9.24,0.00,-0.00,0.00,0.00
2026-06-26 18:18:09.078,994.09,994.08,-0.34,-0.78,0.00,1.35,0.32,9.24,0.00,-0.00,0.00,0.00
2026-06-26 18:18:09.080,994.09,994.08,-0.34,-0.78,0.00,1.34,0.30,9.22,0.00,-0.00,0.00,0.00
2026-06-26 18:18:09.120,994.09,994.08,-0.60,-1.02,0.00,1.33,0.23,9.26,0.00,-0.00,0.00,0.00
2026-06-26 18:18:09.122,994.09,994.08,-0.60,-1.02,0.00,1.33,0.23,9.26,0.00,-0.00,0.00,0.00
2026-06-26 18:18:09.127,994.09,994.08,-0.60,-1.02,0.00,1.33,0.23,9.26,0.00,-0.00,0.00,0.00
2026-06-26 18:18:09.129,994.09,994.08,-0.60,-1.02,0.00,1.29,0.27,9.23,0.00,0.00,0.00,0.00
2026-06-26 18:18:09.130,994.09,994.08,-0.60,-1.02,0.00,1.29,0.27,9.23,0.00,0.00,0.00,0.00
2026-06-26 18:18:09.132,994.09,994.08,-0.60,-1.02,0.00,1.29,0.27,9.23,0.00,0.00,0.00,0.00
