timestamp,pressure_mpl,pressure_bme,diff_pressure,v_wind_est,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,power
2026-06-25 17:33:03.214,994.76,993.90,-86.31,-12.36,0.00,0.66,0.43,9.30,0.00,-0.00,0.00,0.00
2026-06-25 17:33:03.794,994.74,993.88,-86.21,-12.35,0.00,0.66,0.42,9.26,-0.00,-0.00,0.00,0.00
2026-06-25 17:33:04.363,994.74,993.92,-82.49,-12.08,0.00,0.66,0.42,9.30,0.00,0.00,0.00,0.00
2026-06-25 17:33:04.942,994.76,993.89,-87.95,-12.48,0.00,0.66,0.42,9.31,-0.00,0.00,-0.00,0.00
2026-06-25 17:33:05.699,994.76,993.89,-87.24,-12.43,0.00,0.66,0.45,9.30,-0.00,0.00,0.00,0.00
2026-06-25 17:33:06.079,994.73,993.90,-83.16,-12.13,0.00,0.65,0.44,9.31,-0.00,-0.00,-0.00,0.00
2026-06-25 17:33:06.650,994.77,993.89,-87.75,-12.46,0.00,0.66,0.41,9.29,-0.00,0.00,0.00,0.00
2026-06-25 17:33:07.229,994.76,993.91,-84.70,-12.25,0.00,0.65,0.43,9.28,0.00,0.00,0.00,0.00
2026-06-25 17:33:07.810,994.74,993.89,-85.19,-12.28,0.00,0.65,0.44,9.27,-0.00,0.00,-0.00,0.00
2026-06-25 17:33:08.386,994.77,993.88,-89.24,-12.57,0.00,0.67,0.43,9.31,-0.00,0.00,0.00,0.00
2026-06-25 17:33:08.954,994.76,993.91,-85.26,-12.29,0.00,0.67,0.43,9.27,0.00,-0.00,-0.00,0.00
2026-06-25 17:33:09.527,994.76,993.89,-87.22,-12.43,0.00,0.65,0.42,9.30,0.00,-0.00,-0.00,0.00
2026-06-25 17:33:10.105,994.76,993.91,-85.39,-12.30,0.00,0.66,0.43,9.29,0.00,0.00,-0.00,0.00
2026-06-25 17:33:10.677,994.80,993.90,-90.05,-12.63,0.00,0.66,0.44,9.30,-0.00,-0.00,0.00,0.00
2026-06-25 17:33:11.440,994.75,993.90,-84.51,-12.23,0.00,0.67,0.43,9.31,-0.00,-0.00,0.00,0.00
2026-06-25 17:33:11.821,994.74,993.93,-81.25,-11.99,0.00,0.66,0.43,9.29,-0.00,0.00,0.00,0.00
2026-06-25 17:33:12.390,994.75,993.89,-86.22,-12.35,0.00,0.66,0.41,9.30,0.00,0.00,0.00,0.00
2026-06-25 17:33:12.970,994.76,993.92,-83.75,-12.18,0.00,0.65,0.44,9.29,0.00,0.01,-0.00,0.00
2026-06-25 17:33:13.543,994.76,993.92,-84.41,-12.22,0.00,0.66,0.42,9.30,0.00,0.00,-0.00,0.00
2026-06-25 17:33:14.122,994.80,993.88,-91.34,-12.72,0.00,0.65,0.44,9.30,-0.00,0.00,-0.00,0.00
2026-06-25 17:33:14.696,994.77,993.91,-85.92,-12.33,0.00,0.66,0.43,9.30,0.00,-0.00,-0.00,0.00
2026-06-25 17:33:15.266,994.76,993.91,-85.11,-12.27,0.00,0.67,0.43,9.30,-0.00,0.00,-0.00,0.00
